PD#PN;PageRank;InDegree;OutDegree
HB.AA.012;0.0007425392976447289;8;11
LD.CC.004;0.0005020306922347717;6;9
LD.FF.002;0.0006466062424497059;4;18
LD.FF.003;0.0013192383744518093;11;4
LD.FF.005;0.0009074945597512726;6;8
LD.FF.006;0.0008075173827331187;6;4
LD.FF.008;0.000899515486569718;5;5
KD.HH.005;0.002590226071745738;24;4
TL.JJ.006;0.0010440802314214163;9;15
CH.AA.003;0.00028672228093325474;2;6
KD.II.002;0.0007062202208436293;10;9
KD.JJ.010;0.0003860920447483644;4;11
KD.JJ.011;0.0005012625519594186;5;13
PS.GG.004;0.0006887094198826409;4;15
HB.AA.017;0.003240903329238568;9;6
HB.AA.019;0.000733305801208507;4;14
KD.FF.013;0.000775277260213408;7;10
NP.BB.003;0.0004958170843732603;4;14
ER.CC.005;0.0017647604178435271;9;10
IS.BB.011;0.0016850395207504924;11;7
DS.KK.006;0.0006536173892988518;2;11
DD.AA.003;0.00029908059501189676;3;3
DD.AA.004;0.0003209664314970978;3;3
DD.AA.006;0.0002362130682139947;2;8
PS.DD.001;0.0013009646640360654;5;6
TL.HH.005;0.0007294373460293042;6;8
TL.JJ.007;0.0010737073610826262;8;5
TL.GG.010;0.0003917620050407367;4;4
DP.AA.001;0.00024168735981121273;2;3
DP.AA.002;0.0003323304681480522;4;9
DP.AA.003;0.0004674187226819483;8;16
HB.AA.005;0.0005449373584881417;4;6
DS.CC.004;0.0005292458860716632;5;7
TL.FF.002;0.0008503596236335929;10;5
KD.FF.023;0.0007073106753280948;7;0
KD.GG.008;0.00042549176906907975;3;12
SI.AA.009;0.0013229562389478048;8;2
TL.EE.002;0.0013306530191440672;15;10
DS.DD.005;0.0016618621211072244;14;9
NP.BB.001;0.000446910951546675;5;8
NP.BB.002;0.0005239763893063492;5;9
PS.AA.006;0.0011099238091247232;6;9
DP.BB.002;0.0004222081216921954;4;11
DP.BB.003;0.0002868214882831793;3;11
DP.BB.004;0.0003781295245821463;5;3
DP.BB.005;0.0004714689211669752;4;1
KD.FF.019;0.0007142051214195505;7;10
DS.BB.003;0.0013697665688605035;6;14
DS.BB.005;0.0004471440733524343;3;10
DS.BB.008;0.0005716125279782907;3;6
DS.BB.010;0.0007049804753838604;7;17
DS.DD.002;0.0028686117913873698;15;7
DS.EE.002;0.0022477565917384287;11;4
DS.EE.003;0.0011650733274088422;9;12
DS.FF.002;0.0007402309394145121;7;5
DS.FF.003;0.0009381895403253192;9;7
DS.FF.005;0.0015379928885284099;13;8
DS.FF.007;0.0009090150202025551;9;3
DS.FF.008;0.0012045287480870748;13;10
DS.FF.009;0.0013429913901301458;11;10
DS.FF.010;0.0006176785417978871;6;9
DS.HH.003;0.0005873404787707114;5;8
DS.II.002;0.0007597640079270567;7;5
DS.II.003;0.0005676892442553908;5;10
DS.II.004;0.0008348142873072945;6;7
DS.II.005;0.0005676892442553908;5;11
DS.II.006;0.0004648661460166894;3;6
IS.CC.002;0.0005762508734020149;7;8
IS.CC.007;0.0018486976060479597;16;9
IS.CC.008;0.0007307710158445178;8;9
IS.CC.009;0.000716736198453965;8;14
PS.DD.002;0.0008458275083153222;6;5
PS.DD.006;0.0007932398018088424;6;8
KD.GG.007;0.0008039723823772356;5;9
KD.FF.024;0.0008963195493276485;8;12
PS.BB.006;0.0005303192283021645;4;8
PS.CC.006;0.0014513803050767177;10;8
TL.GG.005;0.0007542780164754742;6;14
DS.FF.001;0.0016401500466875056;11;12
DS.CC.001;0.00023968810719654732;1;39
DS.DD.003;0.0008115034199318233;5;13
DS.DD.004;0.0006301894152082326;7;3
DS.DD.006;0.0008029616399965043;7;9
DS.DD.007;0.0008488854809944973;8;9
DS.DD.008;0.0005274253533265203;5;6
DS.DD.009;0.000790323823136456;7;7
ER.FF.003;0.0009027002666105223;3;1
KD.FF.027;0.0008429074230306355;7;14
ER.CC.002;0.001594695843701568;10;10
KD.HH.002;0.0008253893040151252;7;5
LD.CC.005;0.0006433669854557835;5;3
SI.DD.001;0.0012366817843628734;7;3
TL.JJ.008;0.0020193202970335855;16;20
IS.AA.000;0.0006265048496849127;4;34
PS.CC.004;0.0004693400826688974;2;7
KD.FF.018;0.0006411190781924542;7;4
KD.KK.001;0.0005263630670234745;5;6
DS.JJ.004;0.000485171803894925;3;4
DS.JJ.006;0.0013042855583736178;7;11
KD.II.008;0.0006080580853390915;6;9
KD.BB.001;0.002146770243893322;14;10
KD.FF.006;0.0009609056793569774;10;14
ER.FF.004;0.0011219713429069232;3;1
SI.BB.005;0.002170247691129896;11;4
ER.BB.001;0.0006102722606719916;3;5
ER.GG.001;0.0004429771741331061;1;1
ER.DD.001;0.0003150786564658585;2;1
PS.GG.002;0.002569079851659951;19;8
PS.GG.010;0.0008448219217096889;5;7
ER.CC.003;0.0007045079910481046;7;2
ER.CC.004;0.0006604980371088371;4;8
ER.CC.006;0.0006811541379933453;5;2
ER.CC.007;0.00047883847226065006;2;13
ER.CC.008;0.0005684159653213084;4;9
ER.CC.009;0.0005297856714388994;3;4
ER.CC.010;0.00047883847226065006;2;8
ER.CC.011;0.00047883847226065006;2;7
ER.CC.012;0.0007231051253748075;4;1
PS.GG.009;0.0004934453294155565;3;6
PS.EE.010;0.0007765362741568236;5;9
ER.DD.002;0.0005324749224425079;3;10
KD.HH.004;0.0016241206760177738;13;3
ER.EE.004;0.0007309947221462607;4;6
KD.HH.007;0.00031600471957864303;4;10
ER.FF.002;0.0012693931121772097;4;9
ER.FF.005;0.0008973465136090913;3;2
PS.DD.004;0.0005997632626779611;4;13
ER.GG.002;0.0005879039163615711;2;8
FT.CC.001;0.0002438587582432935;3;1
FT.DD.001;0.00024020545713686028;2;1
FT.EE.001;0.00021039882127517857;1;1
TL.CC.007;0.0014412916767201954;6;5
FT.FF.001;0.001509943632231677;4;2
FT.JJ.002;0.0002126502995834622;2;3
HB.AA.003;0.0008140305208882983;4;10
IS.BB.005;0.00033371229855032065;3;10
IS.BB.006;0.0004836590981647358;5;0
IS.BB.007;0.00045053693788584003;4;7
IS.BB.008;0.0006865578335597194;7;5
KD.DD.005;0.0008341554732196278;3;8
KD.FF.002;0.0007365217175556595;4;7
KD.GG.009;0.00035460835078512763;4;9
KD.II.010;0.00032509765457764073;3;2
KD.II.011;0.00032681528409784214;3;5
KD.II.012;0.00026954118504450314;2;4
KD.JJ.012;0.00027786898108438107;2;2
LD.BB.002;0.0005853958824051987;7;13
LD.BB.005;0.00044150202690865085;7;2
LD.BB.006;0.0005362525577094986;5;14
LD.BB.007;0.0004503853936969974;7;10
LD.BB.008;0.0003412278781335848;4;15
LD.BB.009;0.0003412278781335848;4;7
LD.BB.010;0.0003412278781335848;4;6
LD.CC.001;0.0002660843070635791;2;7
MR.AA.001;0.0008404014171701159;3;7
MR.AA.004;0.00022667967357787688;2;3
PS.DD.003;0.0008199601091718382;6;10
PS.EE.008;0.0009569618424705407;7;9
PS.GG.001;0.0009543883668568834;8;7
PS.GG.007;0.0002619969737835333;2;5
PS.GG.011;0.0002812437697772667;2;4
PS.GG.012;0.00042747371191936877;3;5
PS.GG.013;0.0005784233064790094;6;4
PS.GG.015;0.00028033321047726866;2;5
PS.GG.017;0.00042656315261937073;3;5
PS.II.008;0.0003264024266585254;3;4
PS.II.010;0.00035031432430069286;3;12
PS.II.011;0.00030158650851610125;2;12
SI.AA.013;0.0002609519455876368;2;4
TL.DD.003;0.0007610020975377529;8;12
TL.HH.002;0.00028336460036668825;3;3
TL.II.011;0.0006432598363446802;3;6
FT.DD.002;0.00021039882127517857;1;0
FT.DD.003;0.00021039882127517857;1;0
FT.II.001;0.00027570188727955316;3;2
FT.JJ.001;0.00021039882127517857;1;8
FT.JJ.003;0.00021039882127517857;1;6
FT.JJ.004;0.00021039882127517857;1;1
FT.JJ.005;0.00021039882127517857;1;0
FT.JJ.006;0.00021039882127517857;1;0
HB.AA.004;0.00045701608384933153;3;5
HB.AA.006;0.00047546780517579066;3;12
HB.AA.011;0.0005183038869816731;5;5
KD..;0.0011679642191316907;9;0
KD.BB.003;0.00043782921298294317;3;10
KD.BB.004;0.00042426529755065166;3;8
KD.BB.005;0.000437384687265591;3;3
KD.CC.001;0.0004725303384110564;3;9
KD.DD.004;0.0005862404084934127;3;4
KD.FF.004;0.00034173946597146473;2;3
KD.FF.007;0.0007969332984612171;8;5
KD.FF.008;0.0007964632940766177;7;9
KD.FF.011;0.0006371388181922072;6;9
KD.FF.012;0.0005433726302072469;5;7
KD.FF.014;0.000649048829292463;6;8
KD.FF.015;0.0006201316988562985;6;13
KD.FF.020;0.0007204006392833265;7;8
KD.FF.025;0.0005480190621380981;4;9
KD.FF.026;0.00040547162154635445;4;8
KD.FF.028;0.0005230458595361934;4;3
KD.FF.029;0.00040760087071451203;3;3
KD.GG.003;0.0006738911186098566;6;6
KD.GG.004;0.0019125740058821715;20;10
KD.HH.009;0.0004366083571484796;5;5
KD.II.004;0.0004583731262192644;5;8
KD.II.005;0.00035640460539334976;5;16
KD.II.006;0.00028450595591957717;4;8
KD.II.007;0.00033604254019984925;3;9
KD.JJ.003;0.0004556231788156895;4;9
KD.JJ.005;0.00037006297191922413;3;9
KD.JJ.013;0.0011391308544779425;8;16
KD.KK.002;0.0007783825771413478;6;8
KD.KK.003;0.001866707869238019;8;14
KD.KK.005;0.0003432146774422075;3;8
KD.KK.006;0.0004193219971584738;5;6
